Monitoraggio ID,KPI,Valore (PV) (€),Data rilevazione,Stato dell'Attività,Actual Cost,Attività,Peso Relativo WP,Budget Attività (€),Peso Attività (%),Planned Start,Planned Finish,Giorni per Attività,Giorni trascorsi,Percentuale completa (%),Stato dell'attività (%),Work Package,Programma,Progetto
Actual Cost (13/11/2023) 13.1.3 Develop web portal,Actual Cost,0,13/11/2023,,0,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,0,0.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (13/11/2023) 13.1.4 Test web portal,Planned Value,865,13/11/2023,,,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,28,0.16,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (13/11/2023) 13.1.4 Test web portal,Earned Value,0,13/11/2023,Da iniziare,,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,28,0.16,0.00,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (13/11/2023) 13.1.4 Test web portal,Actual Cost,600,13/11/2023,,600,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,28,0.16,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (13/11/2023) 13.1.5 Deploy web portal,Planned Value,0,13/11/2023,,,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,0,0.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (13/11/2023) 13.1.5 Deploy web portal,Earned Value,0,13/11/2023,Da iniziare,,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,0,0.00,0.00,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (13/11/2023) 13.1.5 Deploy web portal,Actual Cost,0,13/11/2023,,0,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,0,0.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
"Planned Value (13/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Planned Value,4410,13/11/2023,,,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
"Earned Value (13/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Earned Value,1103,13/11/2023,Appena iniziata,,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,0.25,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
"Actual Cost (13/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Actual Cost,3000,13/11/2023,,3000,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (13/11/2023) 13.2.2 Develop training model,Planned Value,1245,13/11/2023,,,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,14,0.23,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (13/11/2023) 13.2.2 Develop training model,Earned Value,1378,13/11/2023,Appena iniziata,,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,14,0.23,0.25,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (13/11/2023) 13.2.2 Develop training model,Actual Cost,1500,13/11/2023,,1500,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,14,0.23,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (13/11/2023) 13.2.3 Deploy training model,Planned Value,510,13/11/2023,,,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,14,0.12,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (13/11/2023) 13.2.3 Deploy training model,Earned Value,0,13/11/2023,Da iniziare,,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,14,0.12,0.00,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (13/11/2023) 13.2.3 Deploy training model,Actual Cost,400,13/11/2023,,400,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,14,0.12,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (20/11/2023) 13.1.1 Define web portal use cases,Planned Value,3583,20/11/2023,,,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (20/11/2023) 13.1.1 Define web portal use cases,Earned Value,2688,20/11/2023,Quasi finita,,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,0.75,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (20/11/2023) 13.1.1 Define web portal use cases,Actual Cost,2000,20/11/2023,,2000,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (20/11/2023) 13.1.2 Collect requirements for web portal,Planned Value,3874,20/11/2023,,,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,20,0.54,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (20/11/2023) 13.1.2 Collect requirements for web portal,Earned Value,3583,20/11/2023,A metà,,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,20,0.54,0.50,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (20/11/2023) 13.1.2 Collect requirements for web portal,Actual Cost,3000,20/11/2023,,3000,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,20,0.54,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (20/11/2023) 13.1.3 Develop web portal,Planned Value,341,20/11/2023,,,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,4,0.05,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (20/11/2023) 13.1.3 Develop web portal,Earned Value,1792,20/11/2023,Appena iniziata,,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,4,0.05,0.25,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (20/11/2023) 13.1.3 Develop web portal,Actual Cost,1000,20/11/2023,,1000,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,4,0.05,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (20/11/2023) 13.1.4 Test web portal,Planned Value,1081,20/11/2023,,,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,35,0.20,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (20/11/2023) 13.1.4 Test web portal,Earned Value,0,20/11/2023,Da iniziare,,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,35,0.20,0.00,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (20/11/2023) 13.1.4 Test web portal,Actual Cost,1000,20/11/2023,,1000,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,35,0.20,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (20/11/2023) 13.1.5 Deploy web portal,Planned Value,0,20/11/2023,,,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,0,0.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (20/11/2023) 13.1.5 Deploy web portal,Earned Value,0,20/11/2023,Da iniziare,,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,0,0.00,0.00,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (20/11/2023) 13.1.5 Deploy web portal,Actual Cost,200,20/11/2023,,200,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,0,0.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
"Planned Value (20/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Planned Value,4410,20/11/2023,,,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
"Earned Value (20/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Earned Value,3308,20/11/2023,Quasi finita,,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,0.75,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
"Actual Cost (20/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Actual Cost,4000,20/11/2023,,4000,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (20/11/2023) 13.2.2 Develop training model,Planned Value,1867,20/11/2023,,,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,21,0.34,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (20/11/2023) 13.2.2 Develop training model,Earned Value,1378,20/11/2023,Appena iniziata,,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,21,0.34,0.25,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (20/11/2023) 13.2.2 Develop training model,Actual Cost,1500,20/11/2023,,1500,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,21,0.34,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (20/11/2023) 13.2.3 Deploy training model,Planned Value,765,20/11/2023,,,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,21,0.17,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (20/11/2023) 13.2.3 Deploy training model,Earned Value,0,20/11/2023,Da iniziare,,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,21,0.17,0.00,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (20/11/2023) 13.2.3 Deploy training model,Actual Cost,700,20/11/2023,,700,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,21,0.17,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (27/11/2023) 13.1.1 Define web portal use cases,Planned Value,3583,27/11/2023,,,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (27/11/2023) 13.1.1 Define web portal use cases,Earned Value,3583,27/11/2023,Finita,,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,1.00,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (27/11/2023) 13.1.1 Define web portal use cases,Actual Cost,3583,27/11/2023,,3583,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (27/11/2023) 13.1.2 Collect requirements for web portal,Planned Value,5230,27/11/2023,,,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,27,0.73,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (27/11/2023) 13.1.2 Collect requirements for web portal,Earned Value,5375,27/11/2023,Quasi finita,,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,27,0.73,0.75,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (27/11/2023) 13.1.2 Collect requirements for web portal,Actual Cost,5400,27/11/2023,,5400,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,27,0.73,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (27/11/2023) 13.1.3 Develop web portal,Planned Value,938,27/11/2023,,,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,11,0.13,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (27/11/2023) 13.1.3 Develop web portal,Earned Value,1792,27/11/2023,Appena iniziata,,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,11,0.13,0.25,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (27/11/2023) 13.1.3 Develop web portal,Actual Cost,1000,27/11/2023,,1000,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,11,0.13,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (27/11/2023) 13.1.4 Test web portal,Planned Value,1297,27/11/2023,,,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,42,0.24,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (27/11/2023) 13.1.4 Test web portal,Earned Value,1344,27/11/2023,Appena iniziata,,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,42,0.24,0.25,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (27/11/2023) 13.1.4 Test web portal,Actual Cost,1300,27/11/2023,,1300,13.1.4 Test web portal,"0,67",5375,"0,19",16/10/2023,7/4/2024,174,42,0.24,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (27/11/2023) 13.1.5 Deploy web portal,Planned Value,187,27/11/2023,,,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,7,0.03,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (27/11/2023) 13.1.5 Deploy web portal,Earned Value,1344,27/11/2023,Appena iniziata,,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,7,0.03,0.25,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (27/11/2023) 13.1.5 Deploy web portal,Actual Cost,600,27/11/2023,,600,13.1.5 Deploy web portal,"0,67",5375,"0,19",20/11/2023,8/6/2024,201,7,0.03,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
"Planned Value (27/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Planned Value,4410,27/11/2023,,,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
"Earned Value (27/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Earned Value,4410,27/11/2023,Finita,,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,1.00,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
"Actual Cost (27/11/2023) ""13.2.1 Define training model (use cases, users, requirements)""",Actual Cost,4410,27/11/2023,,4410,"""13.2.1 Define training model (use cases, users, requirements)""","0,33",4410,"0,31",15/9/2023,24/10/2023,39,39,1.00,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (27/11/2023) 13.2.2 Develop training model,Planned Value,2490,27/11/2023,,,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,28,0.45,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (27/11/2023) 13.2.2 Develop training model,Earned Value,2756,27/11/2023,A metà,,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,28,0.45,0.50,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (27/11/2023) 13.2.2 Develop training model,Actual Cost,3000,27/11/2023,,3000,13.2.2 Develop training model,"0,33",5513,"0,38",30/10/2023,31/12/2023,62,28,0.45,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (27/11/2023) 13.2.3 Deploy training model,Planned Value,1021,27/11/2023,,,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,28,0.23,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (27/11/2023) 13.2.3 Deploy training model,Earned Value,1103,27/11/2023,Appena iniziata,,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,28,0.23,0.25,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (27/11/2023) 13.2.3 Deploy training model,Actual Cost,1000,27/11/2023,,1000,13.2.3 Deploy training model,"0,33",4410,"0,31",30/10/2023,28/2/2024,121,28,0.23,,13.2 Train human resources,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (13/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Planned Value,1611,13/11/2023,,,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,59,0.50,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (13/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Earned Value,813,13/11/2023,Appena iniziata,,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,59,0.50,0.25,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (13/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Actual Cost,1600,13/11/2023,,1600,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,59,0.50,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Planned Value (13/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Planned Value,3250,13/11/2023,,,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (13/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Earned Value,813,13/11/2023,Appena iniziata,,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,0.25,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (13/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Actual Cost,1200,13/11/2023,,1200,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Planned Value (13/11/2023) 14.1.3 Collect requirements,Planned Value,0,13/11/2023,,,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,0,0.00,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (13/11/2023) 14.1.3 Collect requirements,Earned Value,0,13/11/2023,Da iniziare,,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,0,0.00,0.00,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (13/11/2023) 14.1.3 Collect requirements,Actual Cost,1000,13/11/2023,,1000,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,0,0.00,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Planned Value (20/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Planned Value,1803,20/11/2023,,,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,66,0.55,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (20/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Earned Value,1625,20/11/2023,A metà,,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,66,0.55,0.50,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (20/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Actual Cost,1600,20/11/2023,,1600,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,66,0.55,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Planned Value (20/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Planned Value,3250,20/11/2023,,,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (20/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Earned Value,2438,20/11/2023,Quasi finita,,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,0.75,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (20/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Actual Cost,2000,20/11/2023,,2000,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Planned Value (20/11/2023) 14.1.3 Collect requirements,Planned Value,355,20/11/2023,,,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,6,0.05,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (20/11/2023) 14.1.3 Collect requirements,Earned Value,0,20/11/2023,Da iniziare,,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,6,0.05,0.00,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (20/11/2023) 14.1.3 Collect requirements,Actual Cost,1000,20/11/2023,,1000,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,6,0.05,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Planned Value (27/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Planned Value,1994,27/11/2023,,,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,73,0.61,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (27/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Earned Value,1625,27/11/2023,A metà,,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,73,0.61,0.50,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (27/11/2023) 14.1.1 Define use cases for Knowledge Hub scientific users,Actual Cost,1600,27/11/2023,,1600,14.1.1 Define use cases for Knowledge Hub scientific users,"1,00",3250,"0,25",15/9/2023,12/1/2024,119,73,0.61,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Planned Value (27/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Planned Value,3250,27/11/2023,,,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (27/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Earned Value,2438,27/11/2023,Quasi finita,,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,0.75,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (27/11/2023) 14.1.2 Define use cases for Knowledge Hub non-scientific users,Actual Cost,3000,27/11/2023,,3000,14.1.2 Define use cases for Knowledge Hub non-scientific users,"1,00",3250,"0,25",12/11/2023,1/11/2023,-11,-11,1.00,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Planned Value (27/11/2023) 14.1.3 Collect requirements,Planned Value,768,27/11/2023,,,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,13,0.12,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Earned Value (27/11/2023) 14.1.3 Collect requirements,Earned Value,1625,27/11/2023,Appena iniziata,,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,13,0.12,0.25,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
Actual Cost (27/11/2023) 14.1.3 Collect requirements,Actual Cost,1000,27/11/2023,,1000,14.1.3 Collect requirements,"1,00",6500,"0,50",14/11/2023,3/3/2024,110,13,0.12,,14.1 Improve usage of Knowledge Hub,5 CoastPredict,14. European Knowledge Hub on Sea Level Rise
"Planned Value (13/11/2023) ""15.1.1 Define needs of research, industry, and government""",Planned Value,1974,13/11/2023,,,"""15.1.1 Define needs of research, industry, and government""","1,00",18750,"0,42",1/11/2023,23/2/2024,114,12,0.11,,15.1 Produce high-quality environmental data,5 CoastPredict,15. Coastal Ocean Resource Environment
"Earned Value (13/11/2023) ""15.1.1 Define needs of research, industry, and government""",Earned Value,0,13/11/2023,Da iniziare,,"""15.1.1 Define needs of research, industry, and government""","1,00",18750,"0,42",1/11/2023,23/2/2024,114,12,0.11,0.00,15.1 Produce high-quality environmental data,5 CoastPredict,15. Coastal Ocean Resource Environment
